부스명,대표자,위치,위치(열),위치(번호),반부스,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,트위터,링크,행사명,개최일,대표 작품(원작)_원본
해골과 붕대와 서스펜스,밑,,,,,1sp,닌타마 란타로,,"닌타마 쁘띠존 : 인술학원 혜성제 ""입학시험의 단!""","잣토 콘나몬, 젠포우지 이사쿠, 츠루마치 후시키조",잣토 콘나몬X젠포우지 이사쿠,로맨틱,,일러스트,mitmit1311,https://dongne.co/event/df2604/circles/615568,제33회 디. 페스타 (토요일),Day1,닌타마 란타로
해달샵,해달,,,,,2sp,스타레일,"원신, 명조, 화산귀환 ",,"명조, 원신, 붕스, 화산귀환 캐릭터들",,,,공예,sunmoon_shop16,https://dongne.co/event/df2604/circles/598433,제33회 디. 페스타 (토요일),Day1,스타레일
해외산 부대찌개,Cooga,,,,,1sp,키타로탄생게게게의수수께끼,"록맨, 제5인격",,"미즈키, 키타로의 아버지, 키타로",,로맨틱,,"만화,일러스트,기타",cooga_01,https://dongne.co/event/df2604/circles/598505,제33회 디. 페스타 (토요일),Day1,키타로 탄생 : 게게게의 수수께끼
해저기지 뜨개 원데이 클래스,경태,,,,,1sp,어두운 바다의 등불이 되어,,,,,,,,holololo81801,https://dongne.co/event/df2604/circles/601164,제33회 디. 페스타 (토요일),Day1,어두운 바다의 등불이 되어
해저기지 초특가세일 괴담,Wchnk,,,,,1sp,괴담에 떨어져도 출근을 해야 하는구나(괴담출근/괴출),어두운 바다의 등불이 되어(어바등),,,,로맨틱,,"소설,공예",pupurdii,https://dongne.co/event/df2604/circles/615697,제33회 디. 페스타 (토요일),Day1,괴담에 떨어져도 출근을 해야 하는구나(괴담출근/괴출)
해저기지해물탕,yumso,,,,,4sp,어두운 바다의 등불이 되어,"괴담출근, 이착헌",,박무현,신해량X박무현,로맨틱,"재희, 무현","만화,일러스트",godsooyum,https://dongne.co/event/df2604/circles/600518,제33회 디. 페스타 (토요일),Day1,어두운 바다의 등불이 되어
해저탐사,케이,,,,,2sp,어두운 바다의 등불이 되어,괴담에떨어져도출근을해야하는구나,,,신해량X박무현,"섹슈얼,로맨틱",,"소설,공예,조형",swagggkei,https://dongne.co/event/df2604/circles/599380,제33회 디. 페스타 (토요일),Day1,어두운바다의등불이되어
해피엔딩은 레고밭에,날Nal,,,,,2sp,트랜스포머,스타워즈,트랜스포머 쁘띠존,,,,,"소설,기타",null_naaall,https://dongne.co/event/df2604/circles/597681,제33회 디. 페스타 (토요일),Day1,트랜스포머
행복 1번지,주먹짱,,,,,2sp,도키메키 메모리얼 걸즈사이드,빛과 밤의 사랑,,,,,,,,https://dongne.co/event/df2604/circles/608378,제33회 디. 페스타 (토요일),Day1,도키메키 메모리얼 걸즈사이드
현무 1팀 막내 포도를 찾습니다.,미르,,,,,2sp,괴담에 떨어져도 출근을 해야 하는구나,,,"최 요원, 류재관, 김솔음",,,,일러스트,beummir,https://dongne.co/event/df2604/circles/596848,제33회 디. 페스타 (토요일),Day1,괴담출근
현무1팀 영원하라!,ㄹㅇ,,,,,1sp,괴담에 떨어져도 출근을 해야 하는구나,,,"최 요원, 김솔음, 류재관",최 요원X김솔음,"로맨틱,섹슈얼",재관솔음,"소설,기타",,https://dongne.co/event/df2604/circles/596675,제33회 디. 페스타 (토요일),Day1,괴담에 떨어져도 출근을 해야 하는구나
현생 미루고 덕질,삼세,,,,,4sp,괴담에 떨어져도 출근을 해야 하는구나,가비지타임,,"김솔음, 전영중, 성준수",,로맨틱,,"만화,일러스트",3m43t_,https://dongne.co/event/df2604/circles/599567,제33회 디. 페스타 (토요일),Day1,괴담에 떨어져도 출근을 해야 하는구나
형도탐정이에요? 어어 대충비슷한거해,서룡,,,,,1sp,히프노시스 마이크,"코난, 오오에",,"사마토키, 사사라, 헤이지, 카즈하, 타케시바",,로맨틱,"헤카, 오오아오",만화,4amaisfunk,https://dongne.co/event/df2604/circles/598930,제33회 디. 페스타 (토요일),Day1,히프노시스 마이크
형상변환기 애호가 클럽,리다,,,,,2sp,트랜스포머,,트랜스포머 쁘띠존,"스모크스크린, 넉아웃",스모크스크린X넉아웃,로맨틱,,만화,lida_0706,https://dongne.co/event/df2604/circles/595865,제33회 디. 페스타 (토요일),Day1,트랜스포머
형은 세계최고로 다정하다,낭비,,,,,2sp,블루록,,,이토시 린,이토시 사에X이토시 린,로맨틱,,"만화,일러스트",nangbi77,https://dongne.co/event/df2604/circles/599799,제33회 디. 페스타 (토요일),Day1,블루록
형제가 사랑한다는데 문제가 될까요 ,우레,,,,,2sp,나루토,우마무스메,,"우치하 이타치, 우치하 사스케 ",,로맨틱,,"만화,일러스트",i_want_plz__,https://dongne.co/event/df2604/circles/616342,제33회 디. 페스타 (토요일),Day1,나루토
호도해야지,HODO,,,,,1sp,트라이건,만달로리안. P의거짓,,밧슈. 울프우드. 나이브스. 루크. 딘 자린. 그로구. P.,,섹슈얼,,"만화,일러스트",hodogaza,https://dongne.co/event/df2604/circles/599932,제33회 디. 페스타 (토요일),Day1,트라이건
홀리갓뎀,하두스대마,,,,,2sp,괴담에 떨어져도 출근을 해야 하는구나,,,김솔음,,,,,hello_dopamine,https://dongne.co/event/df2604/circles/603454,제33회 디. 페스타 (토요일),Day1,괴담출근
홍대병종,lonecosm,,,,,2sp,가비지타임,,,"박병찬, 최종수",박병찬X최종수,로맨틱,,,lonecosm,https://dongne.co/event/df2604/circles/595552,제33회 디. 페스타 (토요일),Day1,가비지타임
화이트샌드의 선인장,선인장,,,,,1sp,"무기미도, 보컬로이드, 마왕의 고백",S급 짐꾼의 슬기로운 성좌 사냥 생활,,,,로맨틱,,"소설,일러스트,공예",cactus_line,https://dongne.co/event/df2604/circles/596678,제33회 디. 페스타 (토요일),Day1,"무기미도, 보컬로이드, 마왕의 고백"
환상뜨락,환상뜨락,,,,,2sp,탑로더 탑꾸,키링,,,,,,공예,dreamy_garden,https://dongne.co/event/df2604/circles/609554,제33회 디. 페스타 (토요일),Day1,탑로더 탑꾸
회색 토끼 엄청 귀여울 것 같지 않아?,ES,,,,,2sp,블루록,,나기이사 쁘띠존,"나기 세이시로, 이사기 요이치",나기 세이시로X이사기 요이치,,,"만화,소설,기타",,https://dongne.co/event/df2604/circles/596150,제33회 디. 페스타 (토요일),Day1,블루록
회전사제 앤솔로지 : 회전교습비망록,결정,,,,,2sp,죠죠의 기묘한 모험,,,,자이로 체펠리X죠니 죠스타 X 자이로 체펠리,,,"만화,일러스트,소설",roundand_round_,https://dongne.co/event/df2604/circles/609402,제33회 디. 페스타 (토요일),Day1,죠죠의 기묘한 모험
회전센시,죠공충,,,,,2sp,죠죠의 기묘한 모험,,,죠니 죠스타 x 자이로 체펠리/ 죠셉 죠스타 시저 체펠리 (ncp),,"로맨틱,섹슈얼,해당없음",시죠세시,"만화,일러스트",onyajj,https://dongne.co/event/df2604/circles/610743,제33회 디. 페스타 (토요일),Day1,죠죠의 기묘한 모험
회지 창작 서바이벌,장이선,,,,,4sp,,,,,,,,,"sun__2g, webnovel_haeun, my_ego2",https://dongne.co/event/df2604/circles/601894,제33회 디. 페스타 (토요일),Day1,
회지낼게,인외,,,,,1sp,유희왕 듀얼몬스터즈,,야미진 쁘띠존 < 강한 마음 x 다정한 마음 >,"야미 유우기, 무토 유우기",아템X무토 유우기,,,만화,otakuinwae,https://dongne.co/event/df2604/circles/595434,제33회 디. 페스타 (토요일),Day1,유희왕 듀얼 몬스터즈
회지를내지않으면나갈수없는방,뜌뜌와 아이들,,,,,2sp,원피스,,,,,,,기타,,https://dongne.co/event/df2604/circles/611809,제33회 디. 페스타 (토요일),Day1,원피스
회지필수지참,"효자, KKR, 총첩",,,,,2sp,엘소드,,,애드,,,,"만화,소설","goodbeing_, okkro_911, lovecontraption",https://dongne.co/event/df2604/circles/596367,제33회 디. 페스타 (토요일),Day1,엘소드
훠니뭉,훤,,,,,2sp,헌터헌터,"괴담출근, 단간론파",,,,,,,g_hywon,https://dongne.co/event/df2604/circles/601729,제33회 디. 페스타 (토요일),Day1,헌터헌터
휘명시 제 67지부,알리샤,,,,,2sp,빛과 밤의 사랑,,빛과 밤의 사랑 쁘띠존 「휘명시디자이너연합회」,육시헌,,,,공예,alicia00607,https://dongne.co/event/df2604/circles/612124,제33회 디. 페스타 (토요일),Day1,빛과 밤의 사랑
흐느적,룬시아,,,,,2sp,괴담에 떨어져도 출근을 해야 하는구나,전독시 이착헌 데못죽,,,,,,일러스트,,https://dongne.co/event/df2604/circles/598467,제33회 디. 페스타 (토요일),Day1,괴담출근
흑발공위원회,룸빠따,,,,,2sp,메달리스트,브리아노의 연구소,,"쥰, 츠카사, 히카루, 이노리, 다비, 브리아노",,,"요다츠카, 히카이노, 답블답",,old_chicksoup,https://dongne.co/event/df2604/circles/611944,제33회 디. 페스타 (토요일),Day1,메달리스트
흙 속의 인디고,인디고,,,,,1sp,,,,,,,,공예,digogo5220,https://dongne.co/event/df2604/circles/597877,제33회 디. 페스타 (토요일),Day1,
히라미,히라미,,,,,1sp,괴담에 떨어져도 출근을 해야 하는구나,,,김솔음,,,,일러스트,hirami04,https://dongne.co/event/df2604/circles/603243,제33회 디. 페스타 (토요일),Day1,괴담출근
히쥐 타임,먼쥐,,,,,2sp,마법소녀 마도카☆마기카,우마무스메,,,,,,,meongee_g,https://dongne.co/event/df2604/circles/612526,제33회 디. 페스타 (토요일),Day1,마법소녀 마도카☆마기카
힌힌탑꾸 ,"몰리, 힌",,,,,2sp,,,,,,,,"공예,기타",hindhind_craft,https://dongne.co/event/df2604/circles/612531,제33회 디. 페스타 (토요일),Day1,
! 충격 ! 천사님 진짜 계심,"추신, 유감",,,,,4sp,,,,,,,,게임,"ps_kiz, kizrullet, kizraph, sorrymce",https://dongne.co/event/dice05/circles/596433,다이스 페스타 #5,Day2,
!! 티알잡이 마감배 !!,"TR꿈악어, PUZE",,,,,2sp,,,,,,,,,"trpg_crocodile, fuse2go",https://dongne.co/event/dice05/circles/596394,다이스 페스타 #5,Day2,
"*GM: 네, 가능합니다.",김왱알,,,,,2sp,,,,,,,,,kw_trpg,https://dongne.co/event/dice05/circles/618113,다이스 페스타 #5,Day2,
.,티믜,,,,,1sp,,,,미정,,,,소설,,https://dongne.co/event/dice05/circles/639405,다이스 페스타 #5,Day2,
2026 오버드 아카데미아 입학안내처,"녕희, 용봉",,,,,2sp,,,,,,,,"기타,만화,게임","cosmicyum3, bongy_trpg",https://dongne.co/event/dice05/circles/605196,다이스 페스타 #5,Day2,
2026종교대통합레니게이드로이뤄나갑니다,루뿌,,,,,2sp,,,,,,,,"기타,소설",nal_trpg,https://dongne.co/event/dice05/circles/599356,다이스 페스타 #5,Day2,
20세기 안내원,뿌쌰,,,,,2sp,,,,,,,,"게임,소설","ppussya, ghostontheater",https://dongne.co/event/dice05/circles/607167,다이스 페스타 #5,Day2,
2D6=미쳤음,고선명,,,,,1sp,,,,,,,,,hdtrpg,https://dongne.co/event/dice05/circles/604455,다이스 페스타 #5,Day2,
404 not found,공사,,,,,1sp,,,,,,,,게임,commi_gongsa,https://dongne.co/event/dice05/circles/649124,다이스 페스타 #5,Day2,
Abyss,심연,,,,,2sp,,,,,,,,,abyss_bloom,https://dongne.co/event/dice05/circles/606616,다이스 페스타 #5,Day2,
AVOIDABYSS,A,,,,,1sp,,,,,,,,기타,a_void_a_byss,https://dongne.co/event/dice05/circles/602474,다이스 페스타 #5,Day2,
CAFE 메로스,팀 숙과회,,,,,2sp,,,,,,,,기타,wlsgml1128,https://dongne.co/event/dice05/circles/602939,다이스 페스타 #5,Day2,
CRC의권위자가되겠다,aringgg,,,,,2sp,,,,,,,,소설,aringgg_trpg,https://dongne.co/event/dice05/circles/597060,다이스 페스타 #5,Day2,
Drawanything Board games & RPGs,드로우,,,,,1sp,,,,,,,,기타,drawanythingame,https://dongne.co/event/dice05/circles/618978,다이스 페스타 #5,Day2,
HO뒷면을 보기 전까지 존재하지 않는 부스 ,김파인,,,,,1sp,,,,,,,,"일러스트,공예,기타",,https://dongne.co/event/dice05/circles/644233,다이스 페스타 #5,Day2,
LIMIT:부엉이맛 타르트,"SIHA, 지현",,,,,2sp,,,,,,,,기타,"sihast, jiheun_",https://dongne.co/event/dice05/circles/605053,다이스 페스타 #5,Day2,
MY FIRST TABLETOP,파카,,,,,2sp,,,,,,,,기타,trpgmft,https://dongne.co/event/dice05/circles/604044,다이스 페스타 #5,Day2,
NINJA play that music louder 오네가이,핑퐁,,,,,1sp,,,,,,,,,_game_pp,https://dongne.co/event/dice05/circles/605237,다이스 페스타 #5,Day2,
sarvant on the ground ,"사라반트, 전자테이블 아기고양이",,,,,2sp,,,,,,,,,060re_,https://dongne.co/event/dice05/circles/611073,다이스 페스타 #5,Day2,
Team. MMA,소냐,,,,,1sp,,,,,,,,기타,w__sonya,https://dongne.co/event/dice05/circles/598050,다이스 페스타 #5,Day2,
TEAM. PERSONAL SPACE,PERSPA,,,,,4sp,,,,,,,,,team_perspa,https://dongne.co/event/dice05/circles/597986,다이스 페스타 #5,Day2,
Team. 라퓨타,수연,,,,,4sp,,,,,,,,소설,team_laputa,https://dongne.co/event/dice05/circles/620687,다이스 페스타 #5,Day2,
Team. 마사회,양어,,,,,2sp,,,,,,,,,parting_trpg,https://dongne.co/event/dice05/circles/595902,다이스 페스타 #5,Day2,
Team.Zodiac,"태양, 금성, 목성",,,,,4sp,,,,,,,,,team_zodiac_tr,https://dongne.co/event/dice05/circles/606932,다이스 페스타 #5,Day2,
Team.도토리둥지,도토리둥지,,,,,2sp,,,,,,,,소설,dotoritrpg,https://dongne.co/event/dice05/circles/605634,다이스 페스타 #5,Day2,
Team.오소리굴,Team.오소리굴,,,,,2sp,,,,,,,,소설,26project_dam,https://dongne.co/event/dice05/circles/605826,다이스 페스타 #5,Day2,
TRPG 바다의 창작 룰이 되어,삼휴칠,,,,,2sp,,,,,,,,게임,samchukhuman77,https://dongne.co/event/dice05/circles/596015,다이스 페스타 #5,Day2,
TRPG 입문길드 설연,TRPG 입문길드 설연,,,,,2sp,,,,,,,,기타,trpgeroffer,https://dongne.co/event/dice05/circles/604834,다이스 페스타 #5,Day2,
TRPG 잡담방,카로,,,,,2sp,,,,,,,,게임,,https://dongne.co/event/dice05/circles/644503,다이스 페스타 #5,Day2,
TRPG사업부 창작1팀,TRPG사업부 창작1팀,,,,,2sp,,,,,,,,"소설,게임",trpg_creativet1,https://dongne.co/event/dice05/circles/605142,다이스 페스타 #5,Day2,
TRPG왕국,리베라스튜디오,,,,,1sp,,,,,,,,기타,trpg_kingdom,https://dongne.co/event/dice05/circles/650994,다이스 페스타 #5,Day2,
UZT 침략기지 대민지원 출장소,미송,,,,,2sp,,,,,,,,,trpg_commander,https://dongne.co/event/dice05/circles/654161,다이스 페스타 #5,Day2,
VELTUS,BLEN,,,,,2sp,,,,,,,,,blen_studio_,https://dongne.co/event/dice05/circles/618926,다이스 페스타 #5,Day2,
Void Divers DevSystem,클센,,,,,1sp,,,,,,,,"게임,기타",voiddivers_trpg,https://dongne.co/event/dice05/circles/651245,다이스 페스타 #5,Day2,
Xero Crescent,퀴에스,,,,,1sp,,,,,,,,,,https://dongne.co/event/dice05/circles/608618,다이스 페스타 #5,Day2,
[㈜ 크툴루 파크] 에 오신 걸 환영합니다~♬,냐루이사,,,,,2sp,,,,,,,,"소설,기타",cthulhu_park,https://dongne.co/event/dice05/circles/596038,다이스 페스타 #5,Day2,
같이 미쿠티알 하지 않을래?,아구,,,,,1sp,,,,하츠네 미쿠,,,,,agu_trpg,https://dongne.co/event/dice05/circles/597819,다이스 페스타 #5,Day2,
고인물 국밥집,멜,,,,,1sp,,,,,,,,게임,mmmmmp_tr,https://dongne.co/event/dice05/circles/611126,다이스 페스타 #5,Day2,
공방 프리즘,리즈,,,,,1sp,,,,,,,,공예,,https://dongne.co/event/dice05/circles/604853,다이스 페스타 #5,Day2,
공수표 해결사,"향초, 댤, CCTV, 공",,,,,2sp,,,,,,,,,scenaricho,https://dongne.co/event/dice05/circles/596363,다이스 페스타 #5,Day2,
구멍가게의 부름,센,,,,,2sp,,,,,,,,"공예,기타",commu1996,https://dongne.co/event/dice05/circles/607125,다이스 페스타 #5,Day2,
그런건 네가 써야해,"파장, 네미, 미츠",,,,,2sp,,,,,,,,"소설,기타",michu_trpg,https://dongne.co/event/dice05/circles/595134,다이스 페스타 #5,Day2,
그레이 스칼렛,스칼,,,,,1sp,,,,,,,,"소설,기타",,https://dongne.co/event/dice05/circles/605106,다이스 페스타 #5,Day2,
글쓰는 토끼굴,글쓰는 센트,,,,,1sp,,,,,,,,기타,writing_cent,https://dongne.co/event/dice05/circles/660870,다이스 페스타 #5,Day2,
나는 발광을 할 테니 너는 착란을 맡거라,"엑스, 공삼",,,,,2sp,,,,,,,,,,https://dongne.co/event/dice05/circles/607172,다이스 페스타 #5,Day2,
낚시터,쿠키,,,,,4sp,,,,,,,,,critofsnowman,https://dongne.co/event/dice05/circles/606910,다이스 페스타 #5,Day2,
난수박물관,곰룡,,,,,4sp,,,,,,,,기타,rnmuseum,https://dongne.co/event/dice05/circles/605013,다이스 페스타 #5,Day2,
내멋대로 TRPG,연어,,,,,2sp,,,,,,,,,salmon_please,https://dongne.co/event/dice05/circles/597904,다이스 페스타 #5,Day2,
네모토끼주립대학 지구캠퍼스 부설연구소 기적연구학부,정네모,,,,,1sp,,,,,,,,,free_nemo_hug,https://dongne.co/event/dice05/circles/606000,다이스 페스타 #5,Day2,
뇌크로노미콘 상회 UGN 서울 지점,리틀언데드,,,,,2sp,,,,,,,,"소설,일러스트,기타",lil_undead_hg,https://dongne.co/event/dice05/circles/604015,다이스 페스타 #5,Day2,
닌자들아 다음 시나리오에선 사이가 좋아지길 바라,미뢰,,,,,1sp,,,,,,,,소설,tastebud_scene,https://dongne.co/event/dice05/circles/606201,다이스 페스타 #5,Day2,
다면체모듬국밥 본점,1d6DICE,,,,,4sp,,,,,,,,,1d6dice,https://dongne.co/event/dice05/circles/605972,다이스 페스타 #5,Day2,
다이스 오브 당근 - 사당 여성 TRPG,정현,,,,,1sp,,,,,,,,"소설,기타",eggaccch,https://dongne.co/event/dice05/circles/603962,다이스 페스타 #5,Day2,
단추수프,Ina,,,,,2sp,,,,,,,,,inahut_trpg,https://dongne.co/event/dice05/circles/619334,다이스 페스타 #5,Day2,
달 뒷면 토끼파,녹조하임,,,,,2sp,,,,,,,,소설,koamadefb_trpg,https://dongne.co/event/dice05/circles/599720,다이스 페스타 #5,Day2,
달콤한일러스트,iamyunji,,,,,2sp,,,,모모찌,,,,일러스트,iamyunji,https://dongne.co/event/dice05/circles/604735,다이스 페스타 #5,Day2,
닭다리광대버섯,버섯가지그라탕,,,,,2sp,,,,,,,,"게임,소설,기타",mushken_trpg,https://dongne.co/event/dice05/circles/603223,다이스 페스타 #5,Day2,
당나라군대의 시대,31,,,,,2sp,,,,,,,,기타,chitochito_s,https://dongne.co/event/dice05/circles/605143,다이스 페스타 #5,Day2,
당신의 사명은 세션을 하는 것이다,LEMON,,,,,1sp,,,,,,,,,,https://dongne.co/event/dice05/circles/608328,다이스 페스타 #5,Day2,
대법전의 털복숭이들,"설지, 누운개",,,,,2sp,,,,,,,,,rotlea_for,https://dongne.co/event/dice05/circles/599106,다이스 페스타 #5,Day2,
더블코로스,몬페,,,,,1sp,,,,,,,,일러스트,,https://dongne.co/event/dice05/circles/607190,다이스 페스타 #5,Day2,
던전베이직,Gary Kim,,,,,1sp,,,,,,,,게임,garykimgames,https://dongne.co/event/dice05/circles/648134,다이스 페스타 #5,Day2,
도화여고 오컬트부,야기,,,,,2sp,,,,,,,,,yagi_do_game,https://dongne.co/event/dice05/circles/605860,다이스 페스타 #5,Day2,
돗까비블루스,로든,,,,,2sp,,,,,,,,"공예,기타",raud_ann,https://dongne.co/event/dice05/circles/594971,다이스 페스타 #5,Day2,
동틀때까지세션하다가그렇게됐다.,핫도그,,,,,2sp,,,,,,,,,dog_omo,https://dongne.co/event/dice05/circles/605152,다이스 페스타 #5,Day2,
두번묻는다펄하갈거냐고 안간다고했다4D10기부른다진짜,랩실,,,,,2sp,,,,,,,,,,https://dongne.co/event/dice05/circles/598628,다이스 페스타 #5,Day2,
듀듀듀 크툴루쿠툴루,양유진,,,,,1sp,,,,,,,,,,https://dongne.co/event/dice05/circles/624154,다이스 페스타 #5,Day2,
따개비루둥지,백혜비루,,,,,1sp,,,,,,,,기타,anatasderu,https://dongne.co/event/dice05/circles/605104,다이스 페스타 #5,Day2,
레니빙이 진화가 된다는 걸 보여주겠다,논냥,,,,,2sp,,,,,,,,기타,,https://dongne.co/event/dice05/circles/604486,다이스 페스타 #5,Day2,
말차트랜스&콜라계승자,백수광부,,,,,2sp,,,,,,,,기타,backbaljoaex,https://dongne.co/event/dice05/circles/596651,다이스 페스타 #5,Day2,
머리 넷 달린 생선,플랫피쉬,,,,,1sp,,,,,,,,소설,team_fourheaded,https://dongne.co/event/dice05/circles/596764,다이스 페스타 #5,Day2,
메이저인척하는부스,"빨강망토치즈, 티알체",,,,,2sp,,,,,,,,게임,"cheesetrpg, not_lg_just",https://dongne.co/event/dice05/circles/597394,다이스 페스타 #5,Day2,
무 지 렁 이 클럽 : 어둠의 인디룰 향우회,반조,,,,,2sp,,,,,,,,,mujirung2_club,https://dongne.co/event/dice05/circles/603412,다이스 페스타 #5,Day2,
뭐라도 해볼게요,Zara,,,,,1sp,,,,,,,,,,https://dongne.co/event/dice05/circles/636921,다이스 페스타 #5,Day2,
미로와 미르,"아비게일, 춤달, 블루텐동",,,,,2sp,,,,,,,,"공예,기타",abisgeil,https://dongne.co/event/dice05/circles/604284,다이스 페스타 #5,Day2,
미소녀 공장,령니,,,,,1sp,,,,,,,,소설,ligoluling,https://dongne.co/event/dice05/circles/611624,다이스 페스타 #5,Day2,
미스티게이즈,클론,,,,,2sp,,,,,,,,게임,,https://dongne.co/event/dice05/circles/602683,다이스 페스타 #5,Day2,
밑 빠진 독에 물 붓기,MILK,,,,,1sp,,,,,,,,,milk_trpg_,https://dongne.co/event/dice05/circles/605914,다이스 페스타 #5,Day2,
바다 좋아하시나요...?,하뉴아,,,,,2sp,,,,,,,,소설,i_am_not_hanyu,https://dongne.co/event/dice05/circles/634668,다이스 페스타 #5,Day2,
배고파요밥주세요,밥줘요념념,,,,,1sp,,,,,,,,기타,antnkkr_1208,https://dongne.co/event/dice05/circles/605795,다이스 페스타 #5,Day2,
배신의 리벌처 문호 성산시 지부,DB,,,,,2sp,,,,,,,,,dbtrpg,https://dongne.co/event/dice05/circles/595486,다이스 페스타 #5,Day2,
배신의 프로젝트 알파 아이돌,야채시장,,,,,2sp,,,,,,,,,cornsweetpotato,https://dongne.co/event/dice05/circles/604684,다이스 페스타 #5,Day2,
뱀이 해고되면 뱀파이어(Team Amaranth),리케,,,,,2sp,,,,,,,,기타,rike_0704,https://dongne.co/event/dice05/circles/597189,다이스 페스타 #5,Day2,
버섯 레니빙 재배사,사사,,,,,2sp,,,,,,,,"소설,기타",sasa_trpg_,https://dongne.co/event/dice05/circles/595991,다이스 페스타 #5,Day2,
번역 레벨2부터 치트였던 공장장의 유유자적 부스 라이프 2쿨,공장장,,,,,2sp,,,,,,,,"소설,공예,기타",kindness_off,https://dongne.co/event/dice05/circles/605187,다이스 페스타 #5,Day2,
보라박쥐단,운구자감,,,,,1sp,,,,,,,,"만화,일러스트",asdfasgaw_11,https://dongne.co/event/dice05/circles/595475,다이스 페스타 #5,Day2,
보라상조,디라스티트,,,,,2sp,,,,,,,,소설,"ig_eugene, restinhelio",https://dongne.co/event/dice05/circles/604901,다이스 페스타 #5,Day2,
부스 이름을 뭐로 하지,이나,,,,,1sp,,,,없음 ,,,,소설,nr_kyd,https://dongne.co/event/dice05/circles/604182,다이스 페스타 #5,Day2,
불명예의 쩐당,"순록, N5, 사일",,,,,2sp,,,,,,,,,r31nd33r_trpg,https://dongne.co/event/dice05/circles/604552,다이스 페스타 #5,Day2,
블루밍하우스1,에피,,,,,2sp,,,,,,,,"만화,기타",blueminghouse,https://dongne.co/event/dice05/circles/606493,다이스 페스타 #5,Day2,
산지직송 당도최고 제일청과,팀 알레프룻,,,,,2sp,,,,,,,,,alef_ruit,https://dongne.co/event/dice05/circles/606266,다이스 페스타 #5,Day2,
살의와 순애는 초성이 같죠. 이게 과연 우연일까요?,"참새, B",,,,,2sp,,,,,,,,기타,"tr_ue_bird, team_matiz",https://dongne.co/event/dice05/circles/602925,다이스 페스타 #5,Day2,
샤노비가미,베꾸,,,,,2sp,,,,,,,,,beggu55,https://dongne.co/event/dice05/circles/636930,다이스 페스타 #5,Day2,
서던 리치: 오르쿠스의 땅,"달큐, 나찰",,,,,2sp,,,,,,,,"기타,게임,소설","ffb__l18, nc_evil",https://dongne.co/event/dice05/circles/597882,다이스 페스타 #5,Day2,
서로 그렇게까지 소중하지는 않은 관계의 모임,도팍,,,,,2sp,,,,,,,,기타,do0pk,https://dongne.co/event/dice05/circles/606823,다이스 페스타 #5,Day2,
성산일보,ABCD,,,,,2sp,,,,,,,,,writerbaek_trpg,https://dongne.co/event/dice05/circles/598662,다이스 페스타 #5,Day2,
소쿠리단지 : 단지 내 물품 미정 ,소쿠리단지,,,,,1sp,,,,,,,,,basketof_tb,https://dongne.co/event/dice05/circles/604204,다이스 페스타 #5,Day2,
수상한 가죽공방,닐림,,,,,2sp,,,,,,,,공예,"nillimbg3, bsky, social",https://dongne.co/event/dice05/circles/598417,다이스 페스타 #5,Day2,
시간마법사의 아틀리에,시간마법사,,,,,2sp,,,,,,,,,,https://dongne.co/event/dice05/circles/594984,다이스 페스타 #5,Day2,
시나리오는 내가 쓸게 플레이는 누가 할래,BG,,,,,1sp,,,,,,,,소설,tr_b_g,https://dongne.co/event/dice05/circles/610115,다이스 페스타 #5,Day2,
시노비가미로 티알 입문한 사람들,세요,,,,,2sp,,,,,,,,"기타,소설",seyo_trpg,https://dongne.co/event/dice05/circles/603779,다이스 페스타 #5,Day2,
신님은 주사위 놀이 당근 빳따죠,요븐,,,,,2sp,,,,,,,,,,https://dongne.co/event/dice05/circles/620479,다이스 페스타 #5,Day2,
아니아무도 완전수화하지 않으면 못 나가는 부스,"포쨔, 맛뱅가리",,,,,2sp,,,,,,,,소설,"pochaa_open, y0ny0n_trpg",https://dongne.co/event/dice05/circles/598041,다이스 페스타 #5,Day2,
아론의 사제,이소율,,,,,1sp,,,,,,,,게임,aarontrpg,https://dongne.co/event/dice05/circles/604526,다이스 페스타 #5,Day2,
아뢰야식,아뉴스데이,,,,,2sp,,,,,,,,,agnusdei011,https://dongne.co/event/dice05/circles/607243,다이스 페스타 #5,Day2,
알렉산드리아 도서관학과 올해의 추천도서 : 마소는 답을 알고 있다,이단공무,,,,,4sp,,,,,,,,"소설,기타",kotokunibito,https://dongne.co/event/dice05/circles/604567,다이스 페스타 #5,Day2,
알아서 배신당해주실 분 (2/n),해바라이온,,,,,2sp,,,,,,,,"소설,공예,기타",no_write_saza,https://dongne.co/event/dice05/circles/648410,다이스 페스타 #5,Day2,
알파트랜스가 물보다 싸다고 젠장~! vol.4,"여백, 클라치스",,,,,2sp,,,,,,,,,yeoback_trpg,https://dongne.co/event/dice05/circles/603876,다이스 페스타 #5,Day2,
야노 슌사쿠가 앤오로 보입니다,먼솔래담,,,,,1sp,,,,,,,,,pa4a4a9,https://dongne.co/event/dice05/circles/604462,다이스 페스타 #5,Day2,
양귀비 설탕절임,오퓸,,,,,2sp,,,,,,,,,,https://dongne.co/event/dice05/circles/609769,다이스 페스타 #5,Day2,
